district,eligible,voters,turnout,municipality,APL_NUM
Senamiesčio,1563,696,44.53,Akmenės rajono,1
V. Kudirkos,1956,797,40.75,Akmenės rajono,2
Respublikos,1849,814,44.02,Akmenės rajono,3
Ramučių,1410,646,45.82,Akmenės rajono,4
Agluonų,329,158,48.02,Akmenės rajono,5
Akmenės 1-oji,2209,1088,49.25,Akmenės rajono,6
Alkiškių,462,184,39.83,Akmenės rajono,7
Daubiškių,566,216,38.16,Akmenės rajono,8
Kairiškių,310,150,48.39,Akmenės rajono,9
Gulbinų,892,376,42.15,Akmenės rajono,10
Kivylių,384,195,50.78,Akmenės rajono,11
Kruopių,564,283,50.18,Akmenės rajono,12
Jučių,131,66,50.38,Akmenės rajono,13
Šapnagių,229,93,40.61,Akmenės rajono,14
Pavenčio,1333,541,40.59,Akmenės rajono,15
Papilės,1296,564,43.52,Akmenės rajono,16
Luokavos,484,246,50.83,Akmenės rajono,17
Sablauskių,418,203,48.56,Akmenės rajono,18
Ventos,1485,657,44.24,Akmenės rajono,19
Kalniškių,212,103,48.58,Akmenės rajono,20
Eglesių,164,69,42.07,Akmenės rajono,21
Klykolių,162,86,53.09,Akmenės rajono,22
Naujamiesčio,969,570,58.82,Akmenės rajono,24
Amatų,1387,731,52.7,Alytaus miesto,1
A.Ramanausko-Vanago,1763,923,52.35,Alytaus miesto,2
Centro,1764,806,45.69,Alytaus miesto,3
A.Matučio,2827,1102,38.98,Alytaus miesto,4
Santaikos,1117,522,46.73,Alytaus miesto,5
Kolegijos,3151,1529,48.52,Alytaus miesto,6
Dzūkijos,1647,751,45.6,Alytaus miesto,7
Naujoji,1804,791,43.85,Alytaus miesto,8
Statybininkų,1550,706,45.55,Alytaus miesto,9
Vilties,2069,868,41.95,Alytaus miesto,10
Sporto,2162,977,45.19,Alytaus miesto,11
Putinų,2060,914,44.37,Alytaus miesto,12
Šaltinių,2168,1029,47.46,Alytaus miesto,13
Ūdrijos,1296,446,34.41,Alytaus miesto,14
Alytaus dujų ūkio,1671,728,43.57,Alytaus miesto,15
Pramonės,1464,462,31.56,Alytaus miesto,16
Panemunės,996,383,38.45,Alytaus miesto,17
Vidzgirio,3318,1454,43.82,Alytaus miesto,18
Jotvingių,2479,1040,41.95,Alytaus miesto,19
Topolių,1686,726,43.06,Alytaus miesto,20
Volungės,3576,1559,43.6,Alytaus miesto,21
Jaunimo,2389,1125,47.09,Alytaus miesto,22
Jurgiškių,3449,1444,41.87,Alytaus miesto,23
Likiškėlių,2887,1180,40.87,Alytaus miesto,24
Praniūnų,760,336,44.21,Alytaus rajono,2
Genių,362,168,46.41,Alytaus rajono,3
Miklusėnų,1292,630,48.76,Alytaus rajono,4
Luksnėnų,627,290,46.25,Alytaus rajono,6
Geištarų,1301,491,37.74,Alytaus rajono,8
Miroslavo,1344,617,45.91,Alytaus rajono,9
Parėčėnų,410,179,43.66,Alytaus rajono,12
Papėčių,149,91,61.07,Alytaus rajono,13
Kumečių,496,211,42.54,Alytaus rajono,14
Vankiškių,473,213,45.03,Alytaus rajono,15
Simno,1361,630,46.29,Alytaus rajono,16
Mergalaukio,453,193,42.6,Alytaus rajono,17
Kalesninkų,371,156,42.05,Alytaus rajono,18
Kavalčiukų,237,118,49.79,Alytaus rajono,19
Ąžuolinių,430,179,41.63,Alytaus rajono,20
Verebiejų,448,197,43.97,Alytaus rajono,21
Gluosninkų,164,57,34.76,Alytaus rajono,22
Krokialaukio,809,364,44.99,Alytaus rajono,23
Ūdrijos,599,255,42.57,Alytaus rajono,24
Santaikos,515,223,43.3,Alytaus rajono,25
Punios,610,322,52.79,Alytaus rajono,26
Raižių,261,111,42.53,Alytaus rajono,27
Vaisodžių,956,369,38.6,Alytaus rajono,28
Žagarių,216,102,47.22,Alytaus rajono,29
Butrimonių,983,420,42.73,Alytaus rajono,30
Vanagėlių,247,109,44.13,Alytaus rajono,31
Eičiūnų,524,240,45.8,Alytaus rajono,32
Pivašiūnų,478,257,53.77,Alytaus rajono,33
Mikalavo,195,100,51.28,Alytaus rajono,34
Junčionių,209,113,54.07,Alytaus rajono,35
Jurgelionių,382,135,35.34,Alytaus rajono,36
Kedonių,165,86,52.12,Alytaus rajono,37
Daugų,1739,906,52.1,Alytaus rajono,38
Rodžios,89,38,42.7,Alytaus rajono,39
Vaikantonių,434,190,43.78,Alytaus rajono,40
Rimėnų,348,132,37.93,Alytaus rajono,41
Meškučių,118,56,47.46,Alytaus rajono,42
Pocelonių,176,79,44.89,Alytaus rajono,43
Alytaus,779,290,37.23,Alytaus rajono,44
Venciūnų,941,350,37.19,Alytaus rajono,45
Alovės,699,291,41.63,Alytaus rajono,46
Ilgų,272,122,44.85,Alytaus rajono,47
Makniūnų,430,211,49.07,Alytaus rajono,48
Ryliškių,348,172,49.43,Alytaus rajono,49
Nemunaičio,997,406,40.72,Alytaus rajono,50
Senamiesčio,3060,1527,49.9,Anykščių rajono,1
Janydžių,1609,876,54.44,Anykščių rajono,2
Ažupiečių,1814,889,49.01,Anykščių rajono,3
Liudiškių,2663,1220,45.81,Anykščių rajono,4
Piktagalio,473,209,44.19,Anykščių rajono,5
Ažuožerių,551,255,46.28,Anykščių rajono,6
Elmos,1077,479,44.48,Anykščių rajono,7
Burbiškio,651,279,42.86,Anykščių rajono,8
Šlavėnų,425,169,39.76,Anykščių rajono,9
Debeikių,1188,459,38.64,Anykščių rajono,10
Leliūnų,388,212,54.64,Anykščių rajono,11
Kavarsko,879,419,47.67,Anykščių rajono,12
Dabužių,250,99,39.6,Anykščių rajono,13
Janušavos,718,253,35.24,Anykščių rajono,14
Svirnų,428,147,34.35,Anykščių rajono,15
Šerių,358,143,39.94,Anykščių rajono,16
Šovenių,159,94,59.12,Anykščių rajono,17
Kurklių,491,224,45.62,Anykščių rajono,18
Kurklių II k.,343,173,50.44,Anykščių rajono,19
Staškūniškio,392,203,51.79,Anykščių rajono,20
Katlėrių,312,132,42.31,Anykščių rajono,21
Skiemonių,476,192,40.34,Anykščių rajono,22
Mačionių,284,155,54.58,Anykščių rajono,23
Daujočių,231,131,56.71,Anykščių rajono,24
Aulelių,168,99,58.93,Anykščių rajono,25
Svėdasų,1321,675,51.1,Anykščių rajono,26
Vaitkūnų,290,173,59.66,Anykščių rajono,27
Troškūnų,1290,502,38.91,Anykščių rajono,28
Vašuokėnų,181,88,48.62,Anykščių rajono,30
Surdegio,343,148,43.15,Anykščių rajono,31
Nausodės,179,79,44.13,Anykščių rajono,32
Raguvėlės,384,217,56.51,Anykščių rajono,33
Levaniškių,327,140,42.81,Anykščių rajono,34
Traupio,369,197,53.39,Anykščių rajono,35
Andrioniškio,474,275,58.02,Anykščių rajono,36
Viešintų,746,319,42.76,Anykščių rajono,37
Birštono m.,2455,1447,58.94,Birštono,1
Birštono vienkiemio,1161,550,47.37,Birštono,2
Nemajūnų,514,226,43.97,Birštono,3
Atžalyno,2238,1000,44.68,Biržų rajono,1
Rotušės,922,463,50.22,Biržų rajono,2
Aušros,2389,1231,51.53,Biržų rajono,3
Saulės,2301,1148,49.89,Biržų rajono,4
Kaštonų,3141,1379,43.9,Biržų rajono,5
Anglininkų,281,144,51.25,Biržų rajono,6
Kratiškių,549,272,49.54,Biržų rajono,7
Nausėdžių,361,154,42.66,Biržų rajono,8
Obelaukių,810,378,46.67,Biržų rajono,9
Rinkuškių,1611,641,39.79,Biržų rajono,10
Germaniškio,505,180,35.64,Biržų rajono,11
Nemunėlio Radviliškio,766,304,39.69,Biržų rajono,12
Pučiakalnės,279,116,41.58,Biržų rajono,13
Kirdonių,675,290,42.96,Biržų rajono,14
Pabiržės,860,371,43.14,Biržų rajono,15
Pačeriaukštės,434,178,41.01,Biržų rajono,16
Pasvaliečių,419,157,37.47,Biržų rajono,17
Juostaviečių,389,197,50.64,Biržų rajono,18
Einorių,315,157,49.84,Biržų rajono,19
Kraštų,282,134,47.52,Biržų rajono,20
Kupreliškio,358,153,42.74,Biržų rajono,21
Kvetkų,352,147,41.76,Biržų rajono,22
Papilio,467,229,49.04,Biržų rajono,23
Medeikių,619,253,40.87,Biržų rajono,24
Parovėjos,747,327,43.78,Biržų rajono,25
Užušilių,370,151,40.81,Biržų rajono,26
Ančiškių,283,132,46.64,Biržų rajono,27
Jasiuliškių,283,159,56.18,Biržų rajono,28
Meilūnų,355,189,53.24,Biržų rajono,29
Ramongalių,337,161,47.77,Biržų rajono,30
Šukionių,258,183,70.93,Biržų rajono,31
Vabalninko,996,505,50.7,Biržų rajono,32
Senamiesčio,1588,773,48.68,Druskininkų,1
Naujamiesčio,1437,820,57.06,Druskininkų,2
Atgimimo,1975,1201,60.81,Druskininkų,3
Kloniškių,1999,826,41.32,Druskininkų,4
Kalviškės,3186,1601,50.25,Druskininkų,5
Eglės,1505,655,43.52,Druskininkų,6
Ratnyčios,1152,509,44.18,Druskininkų,7
Grūto,260,118,45.38,Druskininkų,8
Švendubrės,312,147,47.12,Druskininkų,9
Viečiūnų,1491,603,40.44,Druskininkų,10
Neravų,967,434,44.88,Druskininkų,11
Leipalingio,1888,793,42.0,Druskininkų,12
Lipliūnų,190,101,53.16,Druskininkų,13
Ricielių,917,424,46.24,Druskininkų,14
Draugystės,2336,1071,45.85,Elektrėnų,1
Saulės,4053,1802,44.46,Elektrėnų,2
Sodų,2201,1128,51.25,Elektrėnų,3
Versmės,2411,970,40.23,Elektrėnų,4
Ausieniškių,1107,348,31.44,Elektrėnų,5
Balceriškių,1376,442,32.12,Elektrėnų,6
Beižionių,301,151,50.17,Elektrėnų,7
Daugirdiškių,320,131,40.94,Elektrėnų,8
Kazokiškių,425,179,42.12,Elektrėnų,9
Pastrėvio,629,255,40.54,Elektrėnų,10
Semeliškių,732,332,45.36,Elektrėnų,11
Vievio,3886,1611,41.46,Elektrėnų,12
Gilučių,404,223,55.2,Elektrėnų,13
Jagėlonių,301,137,45.51,Elektrėnų,14
Kietaviškių,876,373,42.58,Elektrėnų,15
Antalksnės,271,188,69.37,Ignalinos rajono,1
Bernotų,245,138,56.33,Ignalinos rajono,2
Ceikinių,330,196,59.39,Ignalinos rajono,3
Didžiasalio,1001,428,42.76,Ignalinos rajono,4
Dysnos,350,191,54.57,Ignalinos rajono,5
Dūkšto,1120,482,43.04,Ignalinos rajono,6
Gilūtų,183,111,60.66,Ignalinos rajono,7
Grybėnų,142,62,43.66,Ignalinos rajono,8
Ignalinos Centro,3611,1731,47.94,Ignalinos rajono,9
Ignalinos,1291,644,49.88,Ignalinos rajono,10
Kaniūkų,399,208,52.13,Ignalinos rajono,11
Kazitiškio,541,252,46.58,Ignalinos rajono,12
Kazokinės,745,357,47.92,Ignalinos rajono,13
Linkmenų,641,347,54.13,Ignalinos rajono,14
Mažėnų,255,142,55.69,Ignalinos rajono,15
Meikštų,309,172,55.66,Ignalinos rajono,16
Mielagėnų,354,157,44.35,Ignalinos rajono,17
N.Daugėliškio,486,221,45.47,Ignalinos rajono,18
Rimšės,593,238,40.13,Ignalinos rajono,20
Rubelninkų,158,93,58.86,Ignalinos rajono,21
Strigališkio,693,381,54.98,Ignalinos rajono,22
Šiūlėnų,335,184,54.93,Ignalinos rajono,23
Švedriškės,221,119,53.85,Ignalinos rajono,24
Taujūnų,276,139,50.36,Ignalinos rajono,25
Tverečiaus,546,244,44.69,Ignalinos rajono,26
Vidiškių,1028,433,42.12,Ignalinos rajono,27
Rimkų,2538,1124,44.29,Jonavos rajono,1
Juodmenos,3437,1409,41.0,Jonavos rajono,2
Kregždutės,2488,975,39.19,Jonavos rajono,3
Bibliotekos,2012,1031,51.24,Jonavos rajono,4
Senamiesčio,2235,958,42.86,Jonavos rajono,6
Saulutės,1550,677,43.68,Jonavos rajono,7
Mokyklos,1694,784,46.28,Jonavos rajono,8
Ateities,1745,826,47.34,Jonavos rajono,9
Kalnų,1035,484,46.76,Jonavos rajono,10
Lakštingalų,2003,1047,52.27,Jonavos rajono,11
Lietavos,2410,1057,43.86,Jonavos rajono,12
Baldininkų,1153,480,41.63,Jonavos rajono,13
Ruklos,1451,430,29.63,Jonavos rajono,14
Bukonių,672,232,34.52,Jonavos rajono,15
Liepių,595,186,31.26,Jonavos rajono,16
Batėgalos,540,183,33.89,Jonavos rajono,17
Čičinų,797,304,38.14,Jonavos rajono,18
Kulvos,562,220,39.15,Jonavos rajono,19
Juškonių,380,176,46.32,Jonavos rajono,20
Kuigalių,448,128,28.57,Jonavos rajono,21
Žeimių,930,363,39.03,Jonavos rajono,22
Panoterių,516,199,38.57,Jonavos rajono,23
Šilų,1015,355,34.98,Jonavos rajono,24
Upninkų,1161,413,35.57,Jonavos rajono,25
Užusalių,1980,725,36.62,Jonavos rajono,26
Šveicarijos,1845,696,37.72,Jonavos rajono,27
Žemaičių,2936,1334,45.44,Joniškio rajono,1
Livonijos,3406,1510,44.33,Joniškio rajono,2
V.Kudirkos,2588,1127,43.55,Joniškio rajono,3
Žagarės,2064,744,36.05,Joniškio rajono,4
Bariūnų,734,278,37.87,Joniškio rajono,5
Darginių,250,76,30.4,Joniškio rajono,6
Daunoriškės,343,121,35.28,Joniškio rajono,7
Daukšių,378,169,44.71,Joniškio rajono,8
Gaižaičių,423,172,40.66,Joniškio rajono,9
Gasčiūnų,440,196,44.55,Joniškio rajono,10
Gataučių,567,204,35.98,Joniškio rajono,11
Kalnelio,604,238,39.4,Joniškio rajono,12
Plikiškių,406,158,38.92,Joniškio rajono,13
Kepalių,417,165,39.57,Joniškio rajono,14
Kirnaičių,361,207,57.34,Joniškio rajono,15
Kriukų,467,175,37.47,Joniškio rajono,16
Linkaičių,344,143,41.57,Joniškio rajono,17
Maldenių,394,171,43.4,Joniškio rajono,18
Mindaugių,309,108,34.95,Joniškio rajono,19
Rudiškių,673,229,34.03,Joniškio rajono,20
Satkūnų,366,134,36.61,Joniškio rajono,21
Skaistgirio,1290,561,43.49,Joniškio rajono,22
Stungių,339,139,41.0,Joniškio rajono,23
Stupurų,346,119,34.39,Joniškio rajono,24
Bučiūnų,174,92,52.87,Joniškio rajono,25
Lieporų,180,81,45.0,Joniškio rajono,26
Blauzdžiūnų,127,73,57.48,Joniškio rajono,27
Jakiškių,233,85,36.48,Joniškio rajono,28
Jauniūnų,259,120,46.33,Joniškio rajono,29
Maželių,133,68,51.13,Joniškio rajono,30
Mekių,196,85,43.37,Joniškio rajono,31
Skilvionių,153,72,47.06,Joniškio rajono,32
Ziniūnų,294,121,41.16,Joniškio rajono,33
Jurdaičių,452,139,30.75,Joniškio rajono,34
Viešvilės,931,376,40.39,Jurbarko rajono,1
Smalininkų,1215,531,43.7,Jurbarko rajono,2
Jurbarkų,1501,571,38.04,Jurbarko rajono,3
Rotulių,584,294,50.34,Jurbarko rajono,4
Žindaičių,599,194,32.39,Jurbarko rajono,5
Eržvilko,571,251,43.96,Jurbarko rajono,6
Pašaltuonio,358,161,44.97,Jurbarko rajono,7
Lybiškių,536,278,51.87,Jurbarko rajono,8
Kartupių,412,180,43.69,Jurbarko rajono,9
Rutkiškių,335,115,34.33,Jurbarko rajono,10
Pavidaujo,349,134,38.4,Jurbarko rajono,11
Girdžių,712,291,40.87,Jurbarko rajono,12
Vadžgirio,732,256,34.97,Jurbarko rajono,13
Šimkaičių,361,142,39.34,Jurbarko rajono,14
Paulių,312,135,43.27,Jurbarko rajono,15
Volungiškės,259,130,50.19,Jurbarko rajono,16
Juodaičių,376,179,47.61,Jurbarko rajono,17
Armeniškių,361,191,52.91,Jurbarko rajono,18
Seredžiaus,832,386,46.39,Jurbarko rajono,19
Klausučių,893,354,39.64,Jurbarko rajono,20
Gricių,183,95,51.91,Jurbarko rajono,21
Tamošių,366,175,47.81,Jurbarko rajono,22
Veliuonos,907,452,49.83,Jurbarko rajono,23
Stakių,270,102,37.78,Jurbarko rajono,24
Raudonės,901,358,39.73,Jurbarko rajono,25
Pilies,624,275,44.07,Jurbarko rajono,26
Skirsnemunės,1097,431,39.29,Jurbarko rajono,27
Dariaus ir Girėno,2546,1191,46.78,Jurbarko rajono,28
Vydūno,2622,1145,43.67,Jurbarko rajono,29
Vytauto Didžiojo,1956,947,48.42,Jurbarko rajono,30
Naujamiesčio,2392,989,41.35,Jurbarko rajono,31
Vytauto,1072,453,42.26,Kaišiadorių rajono,1
Gedimino,1511,712,47.12,Kaišiadorių rajono,2
Girelės,2651,1186,44.74,Kaišiadorių rajono,3
Lomenos,2117,979,46.24,Kaišiadorių rajono,4
Kruonio,1117,389,34.83,Kaišiadorių rajono,5
Kalvių,544,250,45.96,Kaišiadorių rajono,6
Vilūnų,488,204,41.8,Kaišiadorių rajono,7
Darsūniškio,466,208,44.64,Kaišiadorių rajono,8
Ringailių,424,214,50.47,Kaišiadorių rajono,9
Stoniavos,808,350,43.32,Kaišiadorių rajono,12
Dainių,529,222,41.97,Kaišiadorių rajono,13
Stasiūnų,951,399,41.96,Kaišiadorių rajono,14
Melioratorių,1001,373,37.26,Kaišiadorių rajono,15
Žiežmarių,1688,747,44.25,Kaišiadorių rajono,16
Gudienos,1897,782,41.22,Kaišiadorių rajono,17
Žaslių,810,355,43.83,Kaišiadorių rajono,18
Pajautiškių,490,205,41.84,Kaišiadorių rajono,19
Stabintiškių,606,236,38.94,Kaišiadorių rajono,20
Beištrakių,156,50,32.05,Kaišiadorių rajono,21
Tauckūnų,500,194,38.8,Kaišiadorių rajono,22
Palomenės,733,297,40.52,Kaišiadorių rajono,23
Zūbiškių,391,193,49.36,Kaišiadorių rajono,24
Paparčių,658,259,39.36,Kaišiadorių rajono,25
Rumšiškių,2003,950,47.43,Kaišiadorių rajono,26
Pravieniškių,2218,858,38.68,Kaišiadorių rajono,27
Dovainonių,800,395,49.38,Kaišiadorių rajono,28
Antakalnio,640,280,43.75,Kaišiadorių rajono,29
Mūro Strėvininkų,494,215,43.52,Kaišiadorių rajono,30
Liutonių,348,171,49.14,Kaišiadorių rajono,31
Kalvarijos Vakarinė,1791,715,39.92,Kalvarijos,1
Kalvarijos Rytinė,1836,691,37.64,Kalvarijos,2
Jungėnų,1158,382,32.99,Kalvarijos,3
Brukų,357,129,36.13,Kalvarijos,4
Sūsninkų,267,112,41.95,Kalvarijos,5
Mockų,316,136,43.04,Kalvarijos,6
Jusevičių,693,265,38.24,Kalvarijos,7
Sangrūdos,506,243,48.02,Kalvarijos,8
Radiškės,347,162,46.69,Kalvarijos,9
Salaperaugio,330,150,45.45,Kalvarijos,10
Liubavo,339,146,43.07,Kalvarijos,11
Brazavo,280,111,39.64,Kalvarijos,12
Jurgežerių,312,124,39.74,Kalvarijos,13
Tarprubežių,344,130,37.79,Kalvarijos,14
Akmenynų,318,127,39.94,Kalvarijos,15
Kampinių,338,121,35.8,Kalvarijos,16
Aistiškių,333,152,45.65,Kalvarijos,17
Sargėnų,4125,2127,51.56,Kauno miesto,2
Vėtrungės,3407,1809,53.1,Kauno miesto,3
Rasytės,3190,1672,52.41,Kauno miesto,4
Šarkuvos,4484,2194,48.93,Kauno miesto,5
Žemaičių,4107,1960,47.72,Kauno miesto,7
Baltų,3956,1941,49.06,Kauno miesto,8
Baltijos,3835,1937,50.51,Kauno miesto,9
Žiemgalių,4600,2175,47.28,Kauno miesto,10
Milikonių,2374,1187,50.0,Kauno miesto,11
Demokratų,2170,1148,52.9,Kauno miesto,12
Linkuvos,2822,1422,50.39,Kauno miesto,13
Sąjungos,3261,1588,48.7,Kauno miesto,15
Dobilo,3200,1408,44.0,Kauno miesto,16
Apuolės,1063,564,53.06,Kauno miesto,18
Seredžiaus,1448,555,38.33,Kauno miesto,19
Veršvų,4355,1890,43.4,Kauno miesto,21
Žagarės,1702,725,42.6,Kauno miesto,22
Lampėdžių,579,328,56.65,Kauno miesto,23
Kaniūkų,2706,1414,52.25,Kauno miesto,24
H. ir O Minkovskių,901,359,39.84,Kauno miesto,26
J. Dobkevičiaus,4657,2003,43.01,Kauno miesto,27
Veiverių,1804,837,46.4,Kauno miesto,28
Birutės,2935,1520,51.79,Kauno miesto,29
Julijanavos,2155,1045,48.49,Kauno miesto,30
Piliakalnio,1809,965,53.34,Kauno miesto,31
Tekstilininkų,1812,937,51.71,Kauno miesto,33
Maironio,1789,906,50.64,Kauno miesto,36
A. Mackevičiaus,1164,585,50.26,Kauno miesto,37
Varpo,1267,736,58.09,Kauno miesto,38
Ryšių,2385,1398,58.62,Kauno miesto,39
Radvilėnų,2275,1272,55.91,Kauno miesto,40
J. Jablonskio,1712,1031,60.22,Kauno miesto,42
Aušros,2822,1599,56.66,Kauno miesto,43
Senojo tresto,2866,1547,53.98,Kauno miesto,45
Sporto,815,471,57.79,Kauno miesto,47
Miško,3055,1628,53.29,Kauno miesto,49
Jonavos,1481,719,48.55,Kauno miesto,50
L. Karsavino,3611,1964,54.39,Kauno miesto,52
Algirdo,2875,1545,53.74,Kauno miesto,54
Purienų,3624,1773,48.92,Kauno miesto,56
Žeimenos,4448,2353,52.9,Kauno miesto,58
Versmės,3073,1525,49.63,Kauno miesto,60
Gerovės,3785,1848,48.82,Kauno miesto,61
M. Jankaus,2608,1452,55.67,Kauno miesto,62
S. Nėries,1994,1149,57.62,Kauno miesto,63
Aukuro,3360,1740,51.79,Kauno miesto,64
Vaidilutės,1675,860,51.34,Kauno miesto,65
Šiaurės,3530,1717,48.64,Kauno miesto,66
S. Žukausko,3722,1835,49.3,Kauno miesto,67
Statybininkų,3837,1964,51.19,Kauno miesto,68
Rasos,2005,1022,50.97,Kauno miesto,69
